Country,State / Province
United Kingdom,Milton Keynes
United Kingdom,Torbay
United Kingdom,North Tyneside
United Kingdom,Cheshire East
United Kingdom,Bolton
United Kingdom,Rochdale
United Kingdom,South Gloucestershire
United Kingdom,Coventry
United Kingdom,Central Bedfordshire
United Kingdom,Lincolnshire
United Kingdom,Suffolk
United Kingdom,Slough
United Kingdom,Leicester
United Kingdom,Kingston upon Thames
United Kingdom,Derby
United Kingdom,North Yorkshire
United Kingdom,Sutton
United Kingdom,Salford
United Kingdom,Cornwall and Isles of Scilly
United Kingdom,Portsmouth
United Kingdom,Dudley
United Kingdom,Tameside
United Kingdom,Oldham
United Kingdom,Wiltshire
United Kingdom,West Sussex
United Kingdom,Trafford
United Kingdom,"Bristol, City of"
United Kingdom,Worcestershire
United Kingdom,Northamptonshire
United Kingdom,Cambridgeshire
United Kingdom,Richmond upon Thames
United Kingdom,Sandwell
United Kingdom,Gloucestershire
United Kingdom,Leeds
United Kingdom,Warwickshire
United Kingdom,Norfolk
United Kingdom,Liverpool
United Kingdom,Stockport
United Kingdom,Walsall
United Kingdom,Manchester
United Kingdom,Havering
United Kingdom,Nottingham
United Kingdom,Barking and Dagenham
United Kingdom,Newcastle upon Tyne
United Kingdom,Bexley
United Kingdom,Buckinghamshire
United Kingdom,Devon
United Kingdom,Redbridge
United Kingdom,Leicestershire
United Kingdom,Staffordshire
United Kingdom,Waltham Forest
United Kingdom,Merton
United Kingdom,Hammersmith and Fulham
United Kingdom,Lancashire
United Kingdom,Islington
United Kingdom,Camden
United Kingdom,Oxfordshire
United Kingdom,Haringey
United Kingdom,Kent
United Kingdom,Greenwich
United Kingdom,Essex
United Kingdom,Tower Hamlets
United Kingdom,Wolverhampton
United Kingdom,Surrey
United Kingdom,Newham
United Kingdom,Nottinghamshire
United Kingdom,Hackney and City of London
United Kingdom,Hounslow
United Kingdom,Bromley
United Kingdom,Enfield
United Kingdom,Hillingdon
United Kingdom,Derbyshire
United Kingdom,Croydon
United Kingdom,Kensington and Chelsea
United Kingdom,Lewisham
United Kingdom,Barnet
United Kingdom,Ealing
United Kingdom,Sheffield
United Kingdom,Cumbria
United Kingdom,Wandsworth
United Kingdom,Harrow
United Kingdom,Hertfordshire
United Kingdom,Westminster
United Kingdom,Lambeth
United Kingdom,Birmingham
United Kingdom,Brent
United Kingdom,Southwark
United Kingdom,Hampshire
United Kingdom,Borders
United Kingdom,Highland
United Kingdom,Grampian
United Kingdom,Shetland
United Kingdom,Fife
United Kingdom,Dumfries and Galloway
United Kingdom,Ayrshire and Arran
United Kingdom,Forth Valley
United Kingdom,Tayside
United Kingdom,Lothian
United Kingdom,Lanarkshire
United Kingdom,Greater Glasgow and Clyde
United Kingdom,Denbighshire County Council
United Kingdom,Gwynedd Council
United Kingdom,Merthyr Tydfil County Borough Council
United Kingdom,Vale of Glamorgan Council
United Kingdom,Ceredigion County Council
United Kingdom,Conwy County Borough Council
United Kingdom,Flintshire County Council
United Kingdom,Neath Port Talbot Council
United Kingdom,Total:
United Kingdom,City of Cardiff Council
United Kingdom,Caerphilly County Borough Council
United Kingdom,Wrexham County Borough Council
United Kingdom,Rhondda Cynon Taf County Borough Council
United Kingdom,Pembrokeshire County Council
United Kingdom,Isle of Anglesey County Council
United Kingdom,Resident outside Wales
United Kingdom,City and County of Swansea
United Kingdom,Newport City Council
United Kingdom,Torfaen County Borough Council
United Kingdom,Bridgend County Borough Council
United Kingdom,Powys County Council
United Kingdom,Carmarthenshire County Council
United Kingdom,Monmouthshire County Council
United Kingdom,Blaenau Gwent County Borough Council
United Kingdom,To be confirmed
United Kingdom,Hywel Dda
United Kingdom,Aneurin Bevan
United Kingdom,Swansea Bay
United Kingdom,Cardiff and Vale
United Kingdom,Betsi Cadwaladr
United Kingdom,Cwm Taf
United Kingdom,Powys
United Kingdom,Residential area to be confirmed
United Kingdom,Wales
United States of America,all
United States of America,California
United States of America,New York
United States of America,Washington
Canada,all
Canada,Alberta
Canada,British Columbia
Canada,Manitoba
Canada,New Brunswick
Canada,Newfoundland and Labrador
Canada,Nova Scotia
Canada,Ontario
Canada,Prince Edward Island
Canada,Quebec
Canada,Saskatchewan
Canada,Northwest Territories
Canada,"Toronto, ON"
Canada,"Montreal, QC"
Canada,"Edmonton, Alberta"
Canada,"Calgary, Alberta"
Canada,"London, ON"
Canada,Nunavut
Canada,Yukon
Taiwan,all
Netherlands,all
Netherlands,Aa en Hunze
Netherlands,Midden-Delfland
Netherlands,Midden-Drenthe
Netherlands,Midden-Groningen
Netherlands,Mill en Sint Hubert
Netherlands,Moerdijk
Netherlands,Molenlanden
Netherlands,Montferland
Netherlands,Montfoort
Netherlands,Mook en Middelaar
Netherlands,Nederweert
Netherlands,Nieuwegein
Netherlands,Nieuwkoop
Netherlands,Nijkerk
Netherlands,Nissewaard
Netherlands,Middelburg
Netherlands,Noardeast-Fryslân
Netherlands,Noordenveld
Netherlands,Noordoostpolder
Netherlands,Nunspeet
Netherlands,Oirschot
Netherlands,Oldambt
Netherlands,Oldebroek
Netherlands,Oldenzaal
Netherlands,Olst-Wijhe
Netherlands,Ommen
Netherlands,Oost Gelre
Netherlands,Oosterhout
Netherlands,Ooststellingwerf
Netherlands,Oostzaan
Netherlands,Opmeer
Netherlands,Noord-Beveland
Netherlands,Oude IJsselstreek
Netherlands,Meppel
Netherlands,Meerssen
Netherlands,Hillegom
Netherlands,Hilversum
Netherlands,Hof van Twente
Netherlands,Hollands Kroon
Netherlands,Hoogeveen
Netherlands,Hoorn
Netherlands,Horst aan de Maas
Netherlands,Hulst
Netherlands,Kaag en Braassem
Netherlands,Kampen
Netherlands,Kapelle
Netherlands,Katwijk
Netherlands,Kerkrade
Netherlands,Koggenland
Netherlands,Zandvoort
Netherlands,Krimpen aan den IJssel
Netherlands,Landgraaf
Netherlands,Landsmeer
Netherlands,Laren
Netherlands,Leiderdorp
Netherlands,Leusden
Netherlands,Lisse
Netherlands,Lochem
Netherlands,Lopik
Netherlands,Loppersum
Netherlands,Losser
Netherlands,Maasdriel
Netherlands,Maasgouw
Netherlands,Maassluis
Netherlands,Medemblik
Netherlands,Laarbeek
Netherlands,Heumen
Netherlands,Ouder-Amstel
Netherlands,Overbetuwe
Netherlands,Tynaarlo
Netherlands,Tytsjerksteradiel
Netherlands,Winterswijk
Netherlands,Uitgeest
Netherlands,Uithoorn
Netherlands,Urk
Netherlands,Vaals
Netherlands,Valkenburg aan de Geul
Netherlands,Valkenswaard
Netherlands,Veendam
Netherlands,Veenendaal
Netherlands,Velsen
Netherlands,Venray
Netherlands,Vlaardingen
Netherlands,Twenterand
Netherlands,Vlieland
Netherlands,Voerendaal
Netherlands,Voorschoten
Netherlands,Waadhoeke
Netherlands,Wageningen
Netherlands,Wassenaar
Netherlands,Weert
Netherlands,Weesp
Netherlands,Westerkwartier
Netherlands,Westerveld
Netherlands,Westervoort
Netherlands,Westerwolde
Netherlands,Westland
Netherlands,Weststellingwerf
Netherlands,Wierden
Netherlands,Vlissingen
Netherlands,Oudewater
Netherlands,Woensdrecht
Netherlands,Teylingen
Netherlands,Papendrecht
Netherlands,Pekela
Netherlands,Putten
Netherlands,Raalte
Netherlands,Reimerswaal
Netherlands,Renswoude
Netherlands,Reusel-De Mierden
Netherlands,Rhenen
Netherlands,Rijssen-Holten
Netherlands,Rijswijk
Netherlands,Roerdalen
Netherlands,Rozendaal
Netherlands,Rucphen
Netherlands,Scherpenzeel
Netherlands,Tholen
Netherlands,Schiedam
Netherlands,Sint Anthonis
Netherlands,Wormerland
Netherlands,Sliedrecht
Netherlands,Sluis
Netherlands,Someren
Netherlands,Stadskanaal
Netherlands,Staphorst
Netherlands,Stede Broec
Netherlands,Steenbergen
Netherlands,Steenwijkerland
Netherlands,Súdwest-Fryslân
Netherlands,Terneuzen
Netherlands,Terschelling
Netherlands,Texel
Netherlands,Schiermonnikoog
Netherlands,Het Hogeland
Netherlands,Leeuwarden
Netherlands,Hendrik-Ido-Ambacht
Netherlands,Buren
Netherlands,Capelle aan den IJssel
Netherlands,Castricum
Netherlands,Zuidplas
Netherlands,Hengelo (O)
Netherlands,Dalfsen
Netherlands,Dantumadiel
Netherlands,Zoeterwoude
Netherlands,De Fryske Marren
Netherlands,De Ronde Venen
Netherlands,De Wolden
Netherlands,Delfzijl
Netherlands,Bunschoten
Netherlands,Deventer
Netherlands,Doetinchem
Netherlands,Dordrecht
Netherlands,Drechterland
Netherlands,Dronten
Netherlands,Druten
Netherlands,Duiven
Netherlands,Echt-Susteren
Netherlands,Edam-Volendam
Netherlands,Ede
Netherlands,Eemnes
Netherlands,Eersel
Netherlands,Eijsden-Margraten
Netherlands,Doesburg
Netherlands,Bunnik
Netherlands,Brunssum
Netherlands,Brummen
Netherlands,Aalten
Netherlands,Achtkarspelen
Netherlands,Alblasserdam
Netherlands,Alphen-Chaam
Netherlands,Ameland
Netherlands,Zwijndrecht
Netherlands,Appingedam
Netherlands,Assen
Netherlands,Asten
Netherlands,Baarle-Nassau
Netherlands,Baarn
Netherlands,Barendrecht
Netherlands,Barneveld
Netherlands,Beek
Netherlands,Zwartewaterland
Netherlands,Beemster
Netherlands,Beesel
Netherlands,Bergen (L)
Netherlands,Bergen (NH)
Netherlands,Berkelland
Netherlands,Bladel
Netherlands,Bodegraven-Reeuwijk
Netherlands,Zutphen
Netherlands,Borger-Odoorn
Netherlands,Boxmeer
Netherlands,Boxtel
Netherlands,Brielle
Netherlands,Zoetermeer
Netherlands,Elburg
Netherlands,Wijdemeren
Netherlands,Enkhuizen
Netherlands,Gorinchem
Netherlands,Heerenveen
Netherlands,Heerde
Netherlands,Grave
Netherlands,Groningen
Netherlands,Heemskerk
Netherlands,Heiloo
Netherlands,Gulpen-Wittem
Netherlands,Harlingen
Netherlands,Harderwijk
Netherlands,Haaksbergen
Netherlands,Hardenberg
Netherlands,Halderberge
Netherlands,Haarlemmermeer
Netherlands,Hattem
Netherlands,Goeree-Overflakkee
Netherlands,Heerhugowaard
Netherlands,Geldrop-Mierlo
Netherlands,Gennep
Netherlands,Gilze en Rijen
Netherlands,Epe
Netherlands,Zevenaar
Netherlands,Hellevoetsluis
Netherlands,Son en Breugel
Netherlands,Emmen
Netherlands,Bloemendaal
Netherlands,Tubbergen
Netherlands,Blaricum
Netherlands,Albrandswaard
Netherlands,Stein
Netherlands,Bergen op Zoom
Netherlands,Tiel
Netherlands,Westvoorne
Netherlands,Woudenberg
Netherlands,Alkmaar
Netherlands,Smallingerland
Netherlands,Almelo
Netherlands,Vught
Netherlands,Waalre
Netherlands,Voorst
Netherlands,Apeldoorn
Netherlands,Waddinxveen
Netherlands,Vijfheerenlanden
Netherlands,Venlo
Netherlands,Heeze-Leende
Netherlands,Veldhoven
Netherlands,Bergeijk
Netherlands,Heerlen
Netherlands,Schouwen-Duiveland
Netherlands,Waterland
Netherlands,Wijk bij Duurstede
Netherlands,Almere
Netherlands,IJsselstein
Netherlands,Heemstede
Netherlands,West Maas en Waal
Netherlands,Hilvarenbeek
Netherlands,Haarlem
Netherlands,Borsele
Netherlands,Schagen
Netherlands,Delft
Netherlands,Den Helder
Netherlands,Purmerend
Netherlands,Culemborg
Netherlands,Cuijk
Netherlands,Cranendonck
Netherlands,Zaltbommel
Netherlands,Lelystad
Netherlands,Rheden
Netherlands,Ridderkerk
Netherlands,Leiden
Netherlands,"Nuenen, Gerwen en Nederwetten"
Netherlands,Wijchen
Netherlands,Zeewolde
Netherlands,Roermond
Netherlands,Drimmelen
Netherlands,Roosendaal
Netherlands,Langedijk
Netherlands,Enschede
Netherlands,Neder-Betuwe
Netherlands,Geertruidenberg
Netherlands,Ermelo
Netherlands,Alphen aan den Rijn
Netherlands,Aalsmeer
Netherlands,Veere
Netherlands,Diemen
Netherlands,Dinkelland
Netherlands,Heusden
Netherlands,Goes
Netherlands,Hoeksche Waard
Netherlands,Amstelveen
Netherlands,Amersfoort
Netherlands,Hellendoorn
Netherlands,Oegstgeest
Netherlands,West Betuwe
Netherlands,Opsterland
Netherlands,Noordwijk
Netherlands,Huizen
Netherlands,Utrechtse Heuvelrug
Netherlands,Oss
Netherlands,Landerd
Netherlands,Woerden
Netherlands,Simpelveld
Netherlands,Leidschendam-Voorburg
Netherlands,Bronckhorst
Netherlands,Bernheze
Netherlands,Zundert
Netherlands,Zaanstad
Netherlands,Gouda
Netherlands,Zwolle
Netherlands,Lingewaard
Netherlands,Arnhem
Netherlands,Zeist
Netherlands,Borne
Netherlands,Krimpenerwaard
Netherlands,Berg en Dal
Netherlands,Peel en Maas
Netherlands,Best
Netherlands,Deurne
Netherlands,Gooise Meren
Netherlands,Leudal
Netherlands,Beuningen
Netherlands,Beverwijk
Netherlands,Dongen
Netherlands,Nijmegen
Netherlands,Altena
Netherlands,Lansingerland
Netherlands,Gemert-Bakel
Netherlands,Oisterwijk
Netherlands,'s-Hertogenbosch
Netherlands,Stichtse Vecht
Netherlands,Sint-Michielsgestel
Netherlands,Hardinxveld-Giessendam
Netherlands,Etten-Leur
Netherlands,Pijnacker-Nootdorp
Netherlands,Haaren
Netherlands,Waalwijk
Netherlands,Goirle
Netherlands,Loon op Zand
Netherlands,'s-Gravenhage
Netherlands,Renkum
Netherlands,Boekel
Netherlands,Amsterdam
Netherlands,Soest
Netherlands,Beekdaelen
Netherlands,Maastricht
Netherlands,Eindhoven
Netherlands,De Bilt
Netherlands,Coevorden
Netherlands,Helmond
Netherlands,Houten
Netherlands,Meierijstad
Netherlands,Rotterdam
Netherlands,Uden
Netherlands,Utrecht
Netherlands,Sittard-Geleen
Netherlands,Breda
Netherlands,Tilburg
Netherlands,Bergen (NH.)
Netherlands,Hengelo
Netherlands,Súdwest Fryslân
Israel,all
Switzerland,all
Switzerland,AG
Switzerland,AI
Switzerland,AR
Switzerland,BE
Switzerland,BL
Switzerland,BS
Switzerland,FR
Switzerland,GE
Switzerland,GL
Switzerland,GR
Switzerland,JU
Switzerland,LU
Switzerland,NE
Switzerland,NW
Switzerland,OW
Switzerland,SG
Switzerland,SH
Switzerland,SO
Switzerland,SZ
Switzerland,TG
Switzerland,TI
Switzerland,UR
Switzerland,VD
Switzerland,VS
Switzerland,ZG
Switzerland,ZH
